Stn_ID,River,Location,Area_km2,Mon_Period,Obs_Avail,Start,End
2001,Helmsdale,Kilphedir,551.4,1975-2012,N,1975,2012
4003,Alness,Alness,201,1974-2012,N,1974,2012
4005,Meig,Glenmeanie,120.5,1986-2012,Y,1986,2012
6008,Enrick,Mill of Tore,105.9,1979-2012,Y,1979,2012
7002,Findhorn,Forres,781.9,1958-2012,Y,1958,2012
7004,Nairn,Firhall,313,1979-2012,N,1979,2012
7005,Divie,Dunphail,165,1977-2012,N,1977,2012
7006,Lossie,Torwinny,20,1987-2012,Y,1987,2012
7009,Mosset Burn,Wardend Bridge,28.3,1998-2012,N,1998,2012
8004,Avon,Delnashaugh,542.8,1952-2012,Y,1952,2012
8006,Spey,Boat o Brig,2861.2,1952-2012,Y,1952,2012
8009,Dulnain,Balnaan Bridge,272.2,1952-2012,Y,1952,2012
9001,Deveron,Avochie,441.6,1959-2012,N,1959,2012
9002,Deveron,Muiresk,954.9,1960-2012,Y,1960,2012
9003,Isla,Grange,176.1,1969-2012,N,1969,2012
10002,Ugie,Inverugie,325,1971-2012,Y,1971,2012
11001,Don,Parkhill,1273,1969-2012,Y,1969,2012
12002,Dee,Park,1844,1972-2012,Y,1972,2012
12003,Dee,Polhollick,690,1975-2012,Y,1975,2012
12005,Muick,Invermuick,110,1976-2012,N,1976,2012
12008,Feugh,Heugh Head,229,1985-2012,Y,1985,2012
13001,Bervie,Inverbervie,123,1979-2012,Y,1979,2012
13005,Lunan Water,Kirkton Mill,124,1981-2012,Y,1981,2012
13007,North Esk,Logie Mill,732,1976-2012,Y,1976,2012
13008,South Esk,Brechin,488,1983-2012,Y,1983,2012
13009,West Water,Dalhouse Bridge,127.2,1985-2012,N,1985,2012
14001,Eden,Kemback,307.4,1967-2012,Y,1967,2012
15006,Tay,Ballathie,4587.1,1952-2012,Y,1952,2012
15014,Ardle,Kindrogan,103,1985-2012,Y,1985,2012
15023,Braan,Hermitage,210,1983-2012,Y,1983,2012
15024,Dochart,Killin,239,1982-2012,Y,1982,2012
15025,Ericht,Craighall,432,1985-2012,Y,1985,2012
16003,Ruchill Water,Cultybraggan,99.5,1970-2012,Y,1970,2012
16007,Ruthven Water,Aberuthven,50,1990-2012,N,1990,2012
17003,Bonny Water,Bonnybridge,50.5,1971-2012,N,1971,2012
17005,Avon,Polmonthill,195.3,1965-2012,Y,1965,2012
17015,North Queich,Lathro,23.1,1987-2012,N,1987,2012
17016,Lochty Burn,Whinnyhall,14,1986-2009,N,1986,2009
18001,Allan Water,Kinbuck,161,1957-2012,Y,1957,2012
18005,Allan Water,Bridge of Allan,210,1971-2012,N,1971,2012
19006,Water of Leith,Murrayfield,107,1963-2012,N,1963,2012
19011,North Esk,Dalkeith Palace,137,1963-2012,N,1963,2012
20001,Tyne,East Linton,307,1961-2012,N,1961,2012
21003,Tweed,Peebles,694,1959-2012,N,1959,2012
21006,Tweed,Boleside,1500,1961-2012,Y,1961,2012
21009,Tweed,Norham,4390,1962-2012,Y,1962,2012
21012,Teviot,Hawick,323,1963-2012,Y,1963,2012
21013,Gala Water,Galashiels,207,1964-2012,N,1964,2012
21015,Leader Water,Earlston,239,1966-2012,N,1966,2012
21017,Ettrick Water,Brockhoperig,37.5,1965-2012,N,1965,2012
21021,Tweed,Sprouston,3330,1969-2012,N,1969,2012
21022,Whiteadder Water,Hutton Castle,503,1969-2012,Y,1969,2012
21023,Leet Water,Coldstream,113,1970-2012,Y,1970,2012
21027,Blackadder Water,Mouth Bridge,159,1973-2012,N,1973,2012
21031,Till,Etal,648,1956-1980,N,1956,1980
21032,Glen,Kirknewton,198.9,1966-2010,N,1966,2010
22001,Coquet,Morwick,569.8,1963-2012,Y,1963,2012
22004,Aln,Hawkhill,205,1966-1980,N,1966,1980
22009,Coquet,Rothbury,346,1972-2012,N,1972,2012
23004,South Tyne,Haydon Bridge,751.1,1962-2012,Y,1962,2012
23006,South Tyne,Featherstone,321.9,1966-2012,Y,1966,2012
23011,Kielder Burn,Kielder,58.8,1970-2012,Y,1970,2012
24002,Gaunless,Bishop Auckland,93,1958-1983,N,1958,1983
24005,Browney,Burnhall,178.5,1954-2012,Y,1954,2012
24009,Wear,Chester le Street,1008.3,1977-2012,N,1977,2012
25005,Leven,Leven Bridge,196.3,1959-2008,Y,1959,2008
25007,Clow Beck,Croft,78.2,1961-1980,N,1961,1980
25019,Leven,Easby,14.8,1971-1996,N,1971,1996
25020,Skerne,Preston le Skerne,147,1972-2012,Y,1972,2012
27002,Wharfe,Flint Mill Weir,758.9,1955-2011,Y,1955,2011
27007,Ure,Westwick Lock,914.6,1958-2012,Y,1958,2012
27009,Ouse,Skelton,3315,1969-2012,Y,1969,2012
27021,Don,Doncaster,1256.2,1959-2012,Y,1959,2012
27034,Ure,Kilgram Bridge,510.2,1967-2012,Y,1967,2012
27035,Aire,Kildwick Bridge,282.3,1968-2012,Y,1968,2012
27041,Derwent,Buttercrambe,1586,1973-2012,Y,1973,2012
27042,Dove,Kirkby Mills,59.2,1972-2012,Y,1972,2012
27043,Wharfe,Addingham,427,1973-2012,N,1973,2012
27049,Rye,Ness,238.7,1974-2012,N,1974,2012
27055,Rye,Broadway Foot,131.7,1974-2012,N,1974,2012
27071,Swale,Crakehill,1363,1955-2012,Y,1955,2012
27084,Eastburn Beck,Crosshills,43.4,1988-2012,Y,1988,2012
28008,Dove,Rocester Weir,399,1953-2012,Y,1953,2012
28018,Dove,Marston on Dove,883.2,1961-2012,Y,1961,2012
28022,Trent,North Muskham,8231,1968-2012,N,1968,2012
28030,Black Brook,Onebarrow,8.4,1967-1984,N,1967,1984
28031,Manifold,Ilam,148.5,1968-2012,Y,1968,2012
28033,Dove,Hollinsclough,8,1965-2012,N,1965,2012
28046,Dove,Izaak Walton,83,1969-2012,Y,1969,2012
28055,Ecclesbourne,Duffield,50.4,1971-2012,N,1971,2012
28066,Cole,Coleshill,130,1973-2012,Y,1973,2012
31010,Chater,Fosters Bridge,68.9,1968-2012,Y,1968,2012
33012,Kym,Meagre Farm,137.5,1960-2012,Y,1960,2012
33014,Lark,Temple,272,1960-2012,N,1960,2012
33018,Tove,Cappenham Bridge,138.1,1962-2012,Y,1962,2012
33019,Thet,Melford Bridge,316,1962-2012,N,1962,2012
33026,Bedford Ouse,Offord,2570,1970-2012,N,1970,2012
33027,Rhee,Wimpole,119.1,1965-2012,N,1965,2012
33029,Stringside,Whitebridge,98.8,1965-2012,Y,1965,2012
33044,Thet,Bridgham,277.8,1967-2012,N,1967,2012
33049,Stanford Water,Buckenham Tofts,43.5,1973-1980,N,1973,1980
33063,Little Ouse,Knettishall,101,1980-2012,N,1980,2012
34002,Tas,Shotesham,146.5,1957-2012,Y,1957,2012
34006,Waveney,Needham Mill,370,1963-2012,Y,1963,2012
34011,Wensum,Fakenham,161.9,1966-2012,Y,1966,2012
34014,Wensum,Swanton Morley Total,397.8,1969-2011,N,1969,2011
34018,Stiffkey,Warham,87.8,1972-2009,N,1972,2009
35008,Gipping,Stowmarket,128.9,1964-2012,Y,1964,2012
36005,Brett,Hadleigh,156,1962-2012,N,1962,2012
36007,Belchamp Brook,Bardfield Bridge,58.6,1960-2012,N,1960,2012
37001,Roding,Redbridge,303.3,1950-2012,Y,1950,2012
37011,Chelmer,Churchend,72.6,1963-2012,Y,1963,2012
37019,Beam,Bretons Farm,49.7,1965-2012,N,1965,2012
